model,k_factor,history_size,rider,premium,strike,expected_price,spend,overrun,profit,pct_return,premium_over_price
trip-specific,1,2,44,23.9085396552175,31.5786019946425,31.5786019946425,910.627258565651,6.38160066315399,17.5269389920635,1.92471055826624,2.62550230407954
trip-specific,1,2,45,9.07457982904855,6.71949049140503,6.71949049140503,218.22544422899,19.5959996689528,-10.5214198399042,-4.82135338391789,4.15835094808026
trip-specific,1,2,46,50.1758740910725,64.9508642327499,64.9508642327499,1847.75967493302,0.972729350421133,49.2031447406513,2.66285412589897,2.71549784161683
trip-specific,1,2,47,18.773740809743,21.9705112545516,21.9705112545516,718.71200132422,64.5263242386531,-45.7525834289101,-6.36591337623575,2.61213681908087
trip-specific,1,2,48,22.6004700656401,12.697250238283,12.697250238283,391.585367769411,29.9159810919848,-7.31551102634472,-1.86817783003897,5.7715307889003
trip-specific,1,2,49,14.5509535428397,10.4610644751652,10.4610644751652,302.768932162473,3.02134425580893,11.5296092870308,3.80805560355306,4.80595992426044
trip-specific,1,2,50,13.0312344101123,12.7994783428852,12.7994783428852,405.453487249091,30.7093023364524,-17.6780679263401,-4.36007297564062,3.2139899692382
trip-specific,1,2,51,25.1477979697508,24.5271604986151,24.5271604986151,737.112000828445,22.7465759988787,2.40122197087212,0.325760802723789,3.41166579047513
trip-specific,1,2,52,30.9178618256067,15.5380627630246,15.5380627630246,449.247988601111,10.8915575381578,20.0263042874489,4.45773933230235,6.88213695110358
trip-specific,1,2,53,23.1302689043938,17.7549071914696,17.7549071914696,514.554422742881,6.71237656203175,16.4178923423621,3.19070085042607,4.49520359403302
trip-specific,1,2,54,28.8872351804314,39.4473060089764,39.4473060089764,1180.17554908259,18.577411834086,10.3098233463455,0.873583879479611,2.44770663168602
trip-specific,1,2,55,34.7635409938581,12.0825360907681,12.0825360907681,309.649670094893,0.920921454902093,33.842619538956,10.929325236673,11.2267327729446
trip-specific,1,2,56,22.7058612951255,24.3792509597813,24.3792509597813,408.666449253121,0,22.7058612951255,5.55608647018191,5.55608647018191
trip-specific,1,2,57,22.8141226521305,24.3156203647984,24.3156203647984,761.989352320797,37.6029450090603,-14.7888223569298,-1.94081745524231,2.99402118712621
trip-specific,1,2,58,24.0198934068177,17.4093144052656,17.4093144052656,509.413969244461,3.48428776071068,20.535605646107,4.03122153806746,4.71520116388699
trip-specific,1,2,59,20.0356353503325,23.3160444682608,23.3160444682608,724.177507421803,41.1970815652284,-21.1614462148959,-2.9221352497172,2.76667462673106
trip-specific,1,2,60,22.3401828415272,34.5770640105354,34.5770640105354,1064.53639694915,39.6040052567043,-17.2638224151771,-1.62172213788589,2.09858328052961
trip-specific,1,2,61,21.4085075370831,20.8100313278471,20.8100313278471,583.653848148979,5.78039065563296,15.6281168814502,2.67763451419258,3.66801445839497
trip-specific,1,2,62,7.24705884092072,7.52873518353934,7.52873518353934,228.02410800553,17.4027301694669,-10.1556713285461,-4.4537708829892,3.17819852659832
trip-specific,1,2,63,36.338444215773,29.6765810777936,29.6765810777936,908.055374187716,26.1668555109221,10.1715887048509,1.1201507082043,4.0017872531484
trip-specific,1,2,64,22.8642762165211,24.6882258540963,24.6882258540963,736.98564195566,10.6367296398732,12.2275465766479,1.65912955158814,3.10240456731947
trip-specific,1,2,65,17.9964707759614,17.9205094247283,17.9205094247283,514.161587399171,4.91464817367295,13.0818226022884,2.54430181540036,3.50015855268273
trip-specific,1,2,66,17.5673706423707,18.656287768357,18.656287768357,615.197619666469,60.5255003935266,-42.958129751156,-6.98281793977777,2.85556544446561
trip-specific,1,2,67,20.945321242649,18.7781093071596,18.7781093071596,589.530458991288,31.1173634729246,-10.1720422302756,-1.72544812148983,3.55288194582641
trip-specific,1,2,68,9.23085613178784,7.13150134894843,7.13150134894843,208.81764158118,7.35034644422966,1.88050968755818,0.900551157133492,4.42053461665942
